<<<<<<< HEAD
review_id,order_id,product_id,review_date,rating,review_title
REV-0000001,1,2400,2012-07-24,5,Highly recommend
REV-0000002,3,396,2012-08-03,5,Very satisfied
REV-0000003,10,1431,2012-07-23,5,Great quality
REV-0000005,16,1668,2012-08-05,5,Great quality
REV-0000006,17,2352,2012-07-17,4,Good overall
REV-0000008,20,2241,2012-08-12,5,Great quality
REV-0000009,23,1041,2012-07-19,5,Very satisfied
REV-0000010,24,671,2012-08-09,4,Solid choice
REV-0000011,28,396,2012-07-27,5,Very satisfied
REV-0000012,49,671,2012-07-17,5,Highly recommend
REV-0000013,50,475,2012-08-01,4,Works well
REV-0000018,74,467,2012-07-21,5,Excellent product!
REV-0000019,79,2071,2012-07-10,5,Highly recommend
REV-0000020,84,2064,2012-07-24,5,Great quality
REV-0000021,89,635,2012-08-04,5,Great quality
REV-0000022,90,2055,2012-08-10,4,Works well
REV-0000023,104,400,2012-08-07,4,Works well
REV-0000024,106,396,2012-07-31,5,Highly recommend
REV-0000025,117,475,2012-07-21,5,Very satisfied
REV-0000026,118,580,2012-07-29,4,Solid choice
REV-0000027,126,445,2012-07-18,5,Highly recommend
REV-0000028,128,1173,2012-07-29,3,Average product
REV-0000030,149,635,2012-07-19,4,Solid choice
REV-0000032,156,559,2012-08-04,4,Happy with purchase
REV-0000033,160,396,2012-07-23,5,Highly recommend
REV-0000035,169,1502,2012-07-22,4,Solid choice
REV-0000036,199,103,2012-07-17,5,Highly recommend
REV-0000039,220,681,2012-07-28,5,Highly recommend
REV-0000040,228,396,2012-07-23,4,Solid choice
REV-0000041,234,676,2012-08-02,4,Good overall
REV-0000042,239,631,2012-07-30,4,Solid choice
REV-0000043,244,2252,2012-08-05,5,Very satisfied
REV-0000044,244,2253,2012-07-18,5,Very satisfied
REV-0000045,246,467,2012-07-18,5,Excellent product!
REV-0000048,250,1847,2012-07-13,5,Very satisfied
REV-0000050,257,2253,2012-07-13,4,Works well
REV-0000051,266,596,2012-07-16,4,Works well
REV-0000052,286,2083,2012-08-07,5,Very satisfied
REV-0000053,287,1040,2012-07-19,4,Works well
REV-0000054,297,1188,2012-07-26,5,Great quality
REV-0000055,299,396,2012-08-06,4,Solid choice
REV-0000056,302,467,2012-08-10,5,Excellent product!
REV-0000057,303,2250,2012-07-14,2,Below expectations
REV-0000058,315,573,2012-07-24,4,Solid choice
REV-0000059,326,467,2012-08-04,5,Very satisfied
REV-0000060,328,573,2012-07-22,5,Excellent product!
REV-0000062,333,488,2012-08-01,5,Highly recommend
REV-0000063,340,1062,2012-07-15,4,Happy with purchase
REV-0000064,342,671,2012-07-26,5,Excellent product!
REV-0000069,357,248,2012-08-08,4,Solid choice
REV-0000072,381,1915,2012-08-07,4,Solid choice
REV-0000073,386,2332,2012-08-04,5,Great quality
REV-0000074,394,2269,2012-07-25,3,Average product
REV-0000075,403,1085,2012-07-22,4,Good overall
REV-0000076,411,676,2012-07-21,5,Excellent product!
REV-0000077,421,475,2012-07-29,4,Happy with purchase
REV-0000080,433,596,2012-07-21,5,Very satisfied
REV-0000081,436,635,2012-07-16,3,"Decent, nothing special"
REV-0000082,444,2359,2012-08-09,4,Happy with purchase
REV-0000083,445,2240,2012-07-30,5,Excellent product!
REV-0000084,453,580,2012-07-27,1,Would not recommend
REV-0000085,457,2055,2012-07-20,5,Very satisfied
REV-0000086,459,2045,2012-07-12,5,Highly recommend
REV-0000087,463,573,2012-08-10,2,Would not reorder
REV-0000089,474,2331,2012-07-30,4,Solid choice
