product_id,product_name,category,segment,size,color,price,cogs
1,BambooCraft UC-21,Streetwear,Everyday,L,orange,19529.37,16287.49458
2,MekongFit UC-07,Streetwear,Everyday,M,purple,4409.37,3289.39002
3,SaigonFlex UC-59,Streetwear,Everyday,L,white,42.9087348704,24.5004825229
4,HanoiStreet UM-36,Streetwear,Balanced,S,orange,9109.17,8653.7115
5,SaigonFlex UC-97,Streetwear,Everyday,S,orange,4844.7,2618.07588
6,SaigonFlex UM-13,Streetwear,Balanced,S,pink,16386.0676744186,15566.7642906977
7,VietMotion UC-07,Streetwear,Everyday,XL,yellow,5399.82590126,3136.7588660419
8,VietMode RS-03,Outdoor,Premium,M,purple,3747.24,2006.272296
9,VietMode RS-10,Outdoor,Premium,S,orange,3873.24,2666.338416
10,MekongFit RS-06,Outdoor,Premium,L,pink,4700.3520359281,4323.8538378503
11,DragonWear RS-04,Outdoor,Premium,XL,black,4787.37,4096.552509
12,HanoiStreet UR-05,Streetwear,Standard,XL,yellow,24.1188020561,15.5390972361
13,SaigonCore UE-28,Streetwear,Performance,M,blue,6713.7,3936.91368
14,MekongFit UR-02,Streetwear,Standard,M,purple,4040.82,3302.966268
15,VietMode RP-53,Outdoor,Activewear,M,black,4524.5025,2532.36404925
16,HanoiStreet YY-10,GenZ,Trendy,M,yellow,1383.8754922566,862.5695943236
17,HanoiStreet RP-19,Outdoor,Activewear,XL,black,1763.37,1675.2015
18,SaigonCore YY-55,GenZ,Trendy,S,red,2319.87,1394.473857
19,UrbanVN RP-19,Outdoor,Activewear,S,white,36.3882464671,20.0315112813
20,PhoenixWear UE-15,Streetwear,Performance,L,orange,48.7867127569,29.5363443188
21,VietMode RP-37,Outdoor,Activewear,M,purple,70.3026714348,44.8426683748
22,SaigonFlex UE-09,Streetwear,Performance,M,black,6740.37,5806.828755
23,HanoiStreet UC-56,Streetwear,Everyday,M,blue,4262.3538341969,3732.1170172228
24,MekongFit UM-01,Streetwear,Balanced,S,white,8199.4636532508,7789.4904705882
25,VietMode RP-17,Outdoor,Activewear,M,purple,3680.2366555184,2233.5356262341
26,VietMotion UR-09,Streetwear,Standard,L,green,34.4255281311,21.0578439705
27,SaigonCore YY-22,GenZ,Trendy,XL,silver,3026.87,1800.684963
28,DragonWear UR-23,Streetwear,Standard,S,orange,27.2718376239,15.9666304832
29,UrbanVN UM-01,Streetwear,Balanced,L,white,7359.5680830671,5306.2485878914
30,DragonWear MA-07,Casual,All-weather,XL,silver,5306.9975,3533.92963525
31,MekongFit UR-03,Streetwear,Standard,L,green,63.6223307774,35.5743425106
