promo_id,promo_name,promo_type,discount_value,start_date,end_date,applicable_category,promo_channel,stackable_flag,min_order_value
PROMO-0001-0098,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0103,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0134,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0140,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0186,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0224,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0265,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0281,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0415,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0467,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0468,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0476,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0517,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0540,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0666,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0694,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0724,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0773,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0790,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0812,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0816,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0830,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
PROMO-0001-0908,Spring Sale 2013,percentage,12.0,2013-03-18T00:00:00.000,2013-04-17T00:00:00.000,,email,1,0
