date,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec,traffic_source
2013-10-26,12422.0,8842.0,45914,0.004520000000000001,197.1,organic_search
2019-02-15,26260.0,19148.0,97929,0.00568,116.5,paid_search
2019-01-12,14383.0,11480.0,57737,0.00466,170.6,email_campaign
2017-09-30,22021.0,16969.0,95903,0.0034400000000000003,111.8,paid_search
2021-08-12,38269.0,29771.0,208637,0.00442,210.7,paid_search
2020-02-20,22647.0,16715.0,120782,0.00445,316.8,social_media
2022-10-14,18534.0,14990.0,78741,0.00447,210.2,paid_search
2013-04-01,24812.0,17641.0,117628,0.00551,178.5,social_media
2014-12-06,12995.0,9605.0,70307,0.005070000000000001,282.3,social_media
2019-04-13,44228.0,31397.0,187646,0.00322,197.8,organic_search
2013-03-26,20555.0,16341.0,109308,0.005770000000000001,242.7,social_media
2014-04-10,29376.0,21760.0,105496,0.004260000000000001,179.3,paid_search
2017-02-05,19918.0,14950.0,64989,0.005240000000000001,157.2,referral
2014-07-13,21016.0,15177.0,112942,0.0047,151.6,paid_search
2017-07-06,25118.0,18918.0,82615,0.0057,312.3,organic_search
2021-12-04,21716.0,16391.0,95580,0.005730000000000001,113.2,paid_search
2019-03-03,29633.0,23779.0,153733,0.00432,167.6,referral
2017-08-11,30520.0,21870.0,130101,0.00446,264.1,organic_search
2014-07-07,23149.0,17267.0,116966,0.0033100000000000004,221.1,social_media
2016-03-16,24017.0,19505.0,100833,0.004750000000000001,190.9,email_campaign
2015-04-11,32699.0,24505.0,156139,0.0034800000000000005,235.7,social_media
2014-04-09,29270.0,21990.0,145987,0.00502,224.1,organic_search
2016-08-02,29110.0,20880.0,147042,0.0037500000000000003,101.8,referral
2022-10-17,23281.0,18812.0,75013,0.0049700000000000005,202.4,social_media
2015-01-17,10268.0,7696.0,50373,0.00496,208.1,organic_search
2021-05-27,35745.0,28000.0,177423,0.00476,133.8,organic_search
2020-12-21,18862.0,15018.0,79432,0.0046,168.1,referral
2013-01-12,8730.0,6136.0,33336,0.00386,193.3,paid_search
2017-04-26,37962.0,27673.0,208232,0.00388,280.4,referral
2020-09-11,25825.0,19056.0,95585,0.00394,218.6,email_campaign
2014-07-27,21988.0,16247.0,95568,0.0057,125.4,paid_search
2022-02-25,22660.0,18520.0,110666,0.0050100000000000006,170.3,social_media
2015-08-22,28267.0,20186.0,105913,0.00386,291.8,paid_search
2017-06-21,35493.0,27221.0,143116,0.00353,204.6,paid_search
2017-06-02,34130.0,26604.0,146895,0.0033900000000000002,212.5,social_media
2014-09-06,16392.0,12341.0,61013,0.0034800000000000005,252.6,organic_search
2015-08-09,23894.0,18799.0,78998,0.00461,173.7,email_campaign
2021-01-11,16493.0,11978.0,55382,0.0044800000000000005,314.0,email_campaign
2019-05-03,33869.0,24127.0,159855,0.00568,229.6,social_media
2022-09-02,26168.0,21157.0,89557,0.0033,178.2,paid_search
2021-06-22,44414.0,35172.0,231173,0.004690000000000001,138.0,social_media
2016-06-12,28697.0,20793.0,103189,0.00353,121.1,organic_search
2020-08-12,39180.0,28426.0,215466,0.0046700000000000005,125.5,organic_search
2018-05-03,32729.0,24929.0,163856,0.005240000000000001,128.8,referral
2021-01-25,17059.0,12064.0,85576,0.00542,317.7,organic_search
2021-06-27,49137.0,39354.0,260766,0.005410000000000001,308.4,social_media
2016-10-31,14528.0,11617.0,48878,0.00447,200.6,organic_search
2016-05-21,32181.0,24897.0,123544,0.00438,130.4,organic_search
2017-02-26,19969.0,14510.0,94524,0.0044,220.0,social_media
2014-06-13,30261.0,22465.0,108371,0.004710000000000001,125.2,email_campaign
2014-06-28,28913.0,20500.0,128800,0.00557,254.8,referral
2022-10-12,15278.0,12043.0,64352,0.005200000000000001,220.3,email_campaign
2020-01-01,14183.0,10830.0,59821,0.0049,262.0,organic_search
2021-04-12,47621.0,35359.0,182817,0.00406,136.3,paid_search
2018-05-21,34907.0,28015.0,113096,0.005370000000000001,107.3,social_media
2014-12-20,12762.0,9406.0,55784,0.00455,277.7,social_media
2015-09-01,17480.0,13262.0,57096,0.00368,263.9,social_media
2022-10-18,20030.0,14036.0,71188,0.00395,162.3,organic_search
2018-02-26,17681.0,14289.0,93780,0.005110000000000001,143.3,email_campaign
2021-04-07,42648.0,32357.0,157589,0.0038900000000000002,167.3,organic_search
2013-05-07,28589.0,21318.0,147402,0.00555,197.7,organic_search
2016-08-25,30846.0,23195.0,102990,0.005730000000000001,296.6,social_media
2013-11-02,11668.0,9313.0,57812,0.00481,183.2,direct
2014-08-17,27595.0,19440.0,123897,0.00559,204.5,referral
2020-03-31,28802.0,21651.0,93574,0.00534,166.1,organic_search
2015-09-13,20180.0,15018.0,102993,0.005220000000000001,180.8,social_media
2014-09-08,19692.0,14268.0,82611,0.0041400000000000005,100.4,email_campaign
2017-11-18,13233.0,9863.0,59263,0.00566,178.4,social_media
2020-06-02,38550.0,27223.0,207470,0.004350000000000001,281.9,direct
2019-05-09,31426.0,25738.0,101030,0.00338,167.1,paid_search
2018-01-05,13547.0,9619.0,73673,0.0053100000000000005,164.9,organic_search
2018-07-27,28280.0,20923.0,151389,0.00559,153.0,paid_search
2018-12-24,18196.0,14167.0,81305,0.0032800000000000004,221.9,organic_search
2018-02-03,17142.0,12608.0,84791,0.0033200000000000005,276.7,paid_search
2013-12-06,12192.0,9853.0,54072,0.00459,254.2,paid_search
2015-12-08,15215.0,11241.0,69929,0.00354,227.8,organic_search
2018-11-09,14879.0,12155.0,53499,0.00527,155.6,direct
2014-03-08,20789.0,15662.0,93141,0.0036600000000000005,173.0,email_campaign
2014-09-02,17927.0,14108.0,89498,0.0034300000000000003,121.2,social_media
2020-03-04,30135.0,23498.0,131222,0.0034900000000000005,229.6,organic_search
2014-07-03,24291.0,19783.0,87191,0.0035600000000000002,299.1,paid_search
2020-11-01,18245.0,12972.0,61204,0.004050000000000001,261.0,paid_search
2014-07-16,25448.0,19172.0,86877,0.00525,245.5,direct
2015-02-15,17280.0,12439.0,68446,0.004260000000000001,274.5,organic_search
2013-10-22,14589.0,10511.0,47642,0.00338,207.1,direct
2014-11-27,11438.0,8649.0,52208,0.00434,210.8,social_media
2014-05-11,29095.0,21081.0,94942,0.0055000000000000005,146.2,referral
2018-06-04,34071.0,24605.0,187212,0.0057,290.4,referral
2017-09-18,26686.0,20277.0,86684,0.0033,231.8,social_media
2016-05-09,28369.0,21061.0,128664,0.00412,235.2,organic_search
2017-09-05,22874.0,17929.0,110468,0.0034800000000000005,181.6,organic_search
2021-02-17,27259.0,21684.0,107385,0.005560000000000001,115.0,social_media
2014-04-07,27724.0,20365.0,96746,0.0045000000000000005,212.3,paid_search
2015-09-22,19877.0,16252.0,63995,0.00436,103.3,email_campaign
2015-08-25,29244.0,22860.0,123604,0.0049900000000000005,274.9,paid_search
2013-07-27,18198.0,12889.0,70117,0.00462,279.9,social_media
2021-11-02,17580.0,13040.0,95858,0.005090000000000001,250.8,referral
2017-12-16,15380.0,12573.0,76990,0.004200000000000001,247.9,email_campaign
2021-12-05,18397.0,14224.0,70529,0.004710000000000001,251.3,email_campaign
2019-12-19,19761.0,14933.0,97788,0.00496,302.1,paid_search
2018-03-31,28256.0,19940.0,102427,0.0038300000000000005,160.0,organic_search
2022-07-04,31174.0,24165.0,110469,0.0038100000000000005,218.3,organic_search
2019-04-24,43102.0,30805.0,204218,0.0053300000000000005,109.8,email_campaign
2015-11-06,14154.0,11094.0,47606,0.0036300000000000004,271.6,paid_search
2014-09-19,17146.0,12184.0,80820,0.0058000000000000005,299.5,organic_search
2018-04-26,34008.0,25877.0,186139,0.0043,171.4,paid_search
2013-06-21,-100.0,21451.0,103139,0.00566,139.1,email_campaign
2017-01-05,12054.0,9143.0,55335,0.00487,158.4,email_campaign
2020-06-06,37001.0,28500.0,129323,0.00404,306.3,email_campaign
2016-02-24,18131.0,12967.0,69981,0.00402,126.9,email_campaign
2022-10-13,21504.0,15909.0,88710,0.00322,162.6,paid_search
2020-01-24,13647.0,11168.0,70273,0.00432,225.5,organic_search
2016-07-11,23750.0,17184.0,100402,0.00353,309.5,email_campaign
2019-04-12,40148.0,28212.0,213820,0.00478,229.2,email_campaign
2013-03-22,20729.0,16912.0,71130,0.00372,195.9,paid_search
2019-09-04,25524.0,18515.0,100727,0.0034600000000000004,270.1,email_campaign
2013-02-01,15758.0,11220.0,63433,0.004090000000000001,116.7,organic_search
2015-03-20,19678.0,15237.0,70975,0.004920000000000001,309.7,social_media
2022-01-30,14890.0,11490.0,58640,0.0034900000000000005,116.9,organic_search
2018-03-05,26618.0,20081.0,104341,0.0046500000000000005,195.2,organic_search
2020-02-26,22835.0,18087.0,77810,0.00496,285.3,social_media
2017-09-16,23441.0,17775.0,78852,0.00466,191.4,social_media
2013-09-01,17091.0,12233.0,74574,0.005180000000000001,106.8,referral
2017-07-15,28075.0,20085.0,111258,0.00333,234.6,paid_search
2021-04-17,47170.0,34731.0,171205,0.00534,115.7,paid_search
2016-10-10,17553.0,12553.0,69444,0.00421,191.3,social_media
2019-07-12,31992.0,23290.0,134627,0.00555,130.9,organic_search
2020-08-31,30899.0,23108.0,120249,0.004240000000000001,280.9,paid_search
2021-07-27,33644.0,23932.0,164830,0.004560000000000001,191.4,organic_search
2014-08-07,23454.0,18090.0,102654,0.0033200000000000005,110.3,email_campaign
2017-11-08,15737.0,12892.0,70203,0.0037300000000000002,178.2,referral
2013-10-14,14459.0,11334.0,50446,0.00413,231.0,organic_search
2022-12-26,21676.0,17160.0,79557,0.004710000000000001,174.5,paid_search
2013-09-18,19581.0,14167.0,80144,0.004580000000000001,158.9,organic_search
2021-03-22,33491.0,26683.0,121744,0.004390000000000001,103.1,direct
2014-11-10,11746.0,8557.0,42791,0.00432,231.7,organic_search
2017-10-12,17354.0,13593.0,92248,0.0040100000000000005,151.3,email_campaign
2019-09-10,22230.0,17279.0,115152,0.00479,297.0,paid_search
2015-04-09,33264.0,25339.0,131080,0.0033,311.8,email_campaign
2016-03-13,23591.0,18027.0,78079,0.0035700000000000003,237.1,email_campaign
2015-01-18,10164.0,7618.0,54711,0.005220000000000001,305.3,organic_search
2019-09-29,22213.0,16984.0,98269,0.005260000000000001,233.5,social_media
2016-05-22,27855.0,21321.0,133211,0.00549,186.6,email_campaign
2020-01-03,14810.0,10936.0,74913,0.00564,147.4,organic_search
2014-06-14,29999.0,23096.0,122404,0.00557,214.3,paid_search
2018-03-24,26212.0,21135.0,127578,0.00508,184.9,social_media
2018-11-20,17846.0,14400.0,87533,0.0045000000000000005,182.0,email_campaign
2013-10-31,15782.0,12006.0,85169,0.00421,193.6,referral
2020-09-19,23948.0,17545.0,83188,0.0041600000000000005,181.4,organic_search
2015-11-29,14441.0,11536.0,75285,0.00434,139.2,organic_search
2016-11-15,16722.0,13433.0,76078,0.00413,178.0,paid_search
2021-03-30,27851.0,21589.0,134872,0.00472,193.7,organic_search
2018-11-14,16436.0,12825.0,87206,0.00487,198.1,social_media
2018-03-26,25091.0,18621.0,119391,0.00428,205.3,direct
2022-06-04,42514.0,30168.0,160294,0.00513,115.0,social_media
2020-08-21,33606.0,25978.0,109747,0.0056300000000000005,279.8,social_media
2016-02-23,19443.0,15525.0,65423,0.00337,124.0,paid_search
2019-08-18,32176.0,23289.0,152259,0.0034700000000000004,151.5,social_media
2016-08-29,27102.0,21683.0,109621,0.004,157.4,social_media
2020-12-18,20218.0,14273.0,75635,0.00519,307.7,organic_search
2020-12-31,17767.0,13361.0,93445,0.00519,109.3,email_campaign
2022-08-27,36063.0,25453.0,181340,0.00491,244.5,paid_search
2017-09-15,18682.0,14184.0,86802,0.005540000000000001,236.3,organic_search
2019-11-05,18603.0,13193.0,87384,0.0035600000000000002,106.2,paid_search
2015-07-14,25268.0,19699.0,122868,0.00566,289.2,organic_search
2022-01-24,16327.0,12551.0,58647,0.005220000000000001,237.6,referral
2015-03-30,21988.0,15721.0,91135,0.00386,230.9,organic_search
2016-10-04,18099.0,14630.0,86359,0.00427,270.3,paid_search
2017-09-07,24979.0,18665.0,82315,0.005750000000000001,212.2,organic_search
2015-11-11,13290.0,10715.0,59892,0.00372,267.8,paid_search
2013-04-05,32435.0,24802.0,158360,0.00421,269.6,organic_search
2021-09-23,28950.0,21182.0,140514,0.0032700000000000003,249.3,referral
2018-10-08,19068.0,13677.0,65463,0.00561,170.3,social_media
2020-07-19,34393.0,26947.0,145541,0.004410000000000001,180.0,social_media
2020-07-02,27460.0,21481.0,146044,0.00574,269.2,email_campaign
2018-09-27,22241.0,17169.0,112579,0.004390000000000001,153.6,paid_search
2015-03-21,26207.0,20418.0,100420,0.0037,118.5,social_media
2016-03-29,24782.0,19479.0,88649,0.00353,275.0,paid_search
2018-03-09,29115.0,20468.0,127999,0.0046300000000000004,229.0,referral
2017-04-10,33877.0,24739.0,131585,0.0058000000000000005,202.9,email_campaign
2018-11-05,13853.0,9904.0,50174,0.00508,160.2,paid_search
2017-07-25,30138.0,21262.0,110196,0.004770000000000001,280.9,social_media
2018-06-22,36318.0,26821.0,177512,0.00408,206.2,organic_search
2014-05-26,29609.0,23230.0,125918,0.00425,237.2,organic_search
2015-07-05,26737.0,19679.0,85774,0.00547,176.4,organic_search
2014-06-25,30658.0,24091.0,153275,0.00421,138.1,email_campaign
2021-07-28,34683.0,25833.0,113756,0.0036100000000000004,264.4,social_media
2021-07-01,37571.0,29901.0,180410,0.0036200000000000004,141.3,email_campaign
2013-08-25,23027.0,18302.0,124556,0.0032600000000000003,316.9,social_media
2019-04-21,38052.0,27648.0,145134,0.00353,161.2,organic_search
2019-10-04,20576.0,16713.0,81640,0.00335,227.1,referral
2016-06-08,36825.0,28833.0,126407,0.00529,157.7,social_media
2020-02-18,23688.0,19373.0,121108,0.005580000000000001,202.3,paid_search
2021-08-06,41901.0,33170.0,150778,0.0056300000000000005,245.9,direct
2015-11-21,14699.0,11383.0,52048,0.004770000000000001,114.2,email_campaign
2018-08-27,34463.0,25911.0,179758,0.0032,189.9,paid_search
2019-05-17,37582.0,29636.0,185076,0.00544,306.9,organic_search
2018-10-02,20271.0,15969.0,70112,0.004540000000000001,243.0,social_media
2022-12-22,20194.0,16347.0,67520,0.0032800000000000004,137.2,organic_search
2015-04-02,30456.0,22808.0,137521,0.004070000000000001,167.6,paid_search
2021-04-05,47943.0,35534.0,209958,0.0038300000000000005,290.8,paid_search
2019-09-07,23733.0,16764.0,98671,0.0036300000000000004,139.7,referral
2018-09-17,22065.0,16173.0,117402,0.00557,191.4,social_media
2013-01-27,8604.0,6327.0,44601,0.005540000000000001,222.6,referral
2019-06-25,37671.0,27919.0,129819,0.005030000000000001,253.6,social_media
2021-12-06,20668.0,15918.0,67398,0.00472,150.0,organic_search
2016-03-15,26245.0,21094.0,107523,0.0041800000000000006,255.1,email_campaign
2019-05-07,38311.0,27298.0,156221,0.004220000000000001,144.3,email_campaign
2017-10-26,19358.0,14916.0,98511,0.00367,161.3,paid_search
2014-01-08,11340.0,9281.0,41050,0.0036200000000000004,221.5,social_media
2022-11-10,17937.0,13772.0,92814,0.00496,277.7,organic_search
2014-02-14,14509.0,11532.0,61350,0.0038900000000000002,226.3,organic_search
2015-01-03,11528.0,8833.0,40725,0.0038300000000000005,249.4,organic_search
2014-12-04,14206.0,10153.0,52846,0.005750000000000001,255.7,organic_search
2018-09-10,23077.0,16331.0,84070,0.0046700000000000005,315.6,referral
2015-01-10,11873.0,8645.0,64601,0.0034200000000000003,134.3,organic_search
2014-04-20,30149.0,23019.0,144722,0.0038300000000000005,249.2,paid_search
2018-10-29,16800.0,12522.0,83164,0.004750000000000001,118.8,referral
2014-01-03,10230.0,8247.0,42607,0.005430000000000001,249.9,social_media
2019-03-24,28415.0,23292.0,140934,0.0036500000000000005,273.6,paid_search
2013-01-22,10100.0,7469.0,39597,0.00504,250.0,email_campaign
2016-07-10,26627.0,18741.0,121806,0.00495,142.3,organic_search
2013-07-10,22911.0,17844.0,91089,0.00504,214.5,organic_search
2015-06-04,28794.0,21415.0,121730,0.00523,162.3,email_campaign
2014-01-11,11306.0,9172.0,52326,0.0045000000000000005,116.2,referral
2017-12-23,16850.0,12718.0,87565,0.0036100000000000004,113.8,referral
2013-06-17,28092.0,21312.0,92163,0.0037800000000000004,152.1,organic_search
2015-09-28,18337.0,14106.0,67729,0.005560000000000001,111.4,referral
2016-07-21,26495.0,20970.0,114364,0.00387,119.0,social_media
2021-05-17,40445.0,29227.0,133550,0.0038300000000000005,152.7,social_media
2019-06-02,36512.0,28207.0,156568,0.0044,233.9,email_campaign
2018-11-16,15836.0,11472.0,82918,0.00438,235.5,email_campaign
2017-10-04,17386.0,13879.0,59820,0.00513,127.7,referral
2013-09-10,17160.0,14066.0,72179,0.00438,268.7,referral
2015-01-25,10995.0,8907.0,48943,0.00551,294.0,organic_search
2014-11-21,14690.0,10969.0,49729,0.0056300000000000005,133.5,organic_search
2017-01-29,13325.0,10241.0,65733,0.0034000000000000002,296.0,referral
2016-01-17,10008.0,7752.0,45333,0.0041400000000000005,250.9,paid_search
2019-11-01,16216.0,12680.0,70987,0.00529,157.5,organic_search
2018-04-18,39902.0,31111.0,194491,0.005750000000000001,118.2,social_media
2015-09-02,20702.0,16666.0,69558,0.0032800000000000004,118.3,paid_search
2017-04-18,32079.0,24550.0,106023,0.0032300000000000002,112.9,organic_search
2019-05-20,33598.0,24840.0,175466,0.004750000000000001,185.5,paid_search
2016-08-10,33121.0,27111.0,133606,0.004920000000000001,132.5,referral
2016-09-28,20824.0,15238.0,110681,0.00544,163.1,organic_search
2014-04-23,26922.0,21973.0,128715,0.00391,154.7,email_campaign
2017-01-09,11802.0,8776.0,58449,0.00466,197.2,organic_search
2021-04-11,43154.0,32111.0,138797,0.004770000000000001,123.6,organic_search
2016-03-27,27557.0,22581.0,93947,0.00335,131.6,organic_search
2013-11-04,10715.0,8320.0,47693,0.004090000000000001,266.8,email_campaign
